m:,f:a,.:,f:,.:,f:a,m:o,f:a,f:a,.:f,f:a,.:f
.:,.:,.:f,f:a,.:f,.:f,v:,.:f,.:c,v: ,m:,f:a
.:,f:,m:o,c:2,f:a,f:a,.:f,f:a,.:,f:a,f:a,m:o
f:,m:,.:f,.:f,.:,.:f,f:a,.:f,.:,.:,.:f,.:f
.:f,m:,f:a,f:,.:,f:a,v: ,f:,f:a,m:o,v: ,.:f
f:a,v:,.:,.:,.:r,.:f,m:,.:,f:a,.:c,.:f,f:a
m:,f:a,f:a,f:,m:o,f:a,.:f,f:a,.:,f:,.:f,.:
.:,f:,f:,m:,m:,.:,v:,f:,m:o,v:,.:f,.:r
m:r,f:,.:,m:o,.:,f:,f:,.:f,m:o,m:,.:,.:
.:,f:,.:,c:0,.:,f:a,f:a,.:,m:o,.:,m:o,f:a
.:,.:,.:,f:,m:o,.:f,v:,.:,.:f,v: ,.:c,.:
f:,f:,f:,f:,.:f,f:,f:a,.:c,.:f,m:,f:,.:
