.:f,.:f,f:a,m:,.:f,.:f,f:a,.:,.:f,.:f,.:f,.:f
f:a,v:,.:f,.:,.:f,.:f,.:f,f:,m:o,v: ,m:o,.:
f:a,f:a,f:a,f:,f:a,c:2,f:a,f:a,m:,.:f,m:o,f:
f:r,.:f,f:a,.:f,.:f,.:,.:f,m:,.:f,f:a,f:,m:
f:,m:o,v: ,.:f,.:,m:o,f:a,f:a,v: ,m:,.:,f:
f:,f:a,f:a,f:,.:,v: ,f:,f:a,.:,.:c,m:r,f:
f:a,f:a,m:,.:,.:,.:c,m:,.:f,m:o,m:o,f:,.:
.:,v:,f:,.:f,m:o,.:f,m:,f:,v: ,m:o,.:r,.:
.:f,.:,.:c,.:c,c:0,m:o,f:,f:,f:a,.:,m:,.:c
m:,f:a,.:f,f:a,f:a,m:,m:,.:c,m:,m:,m:o,.:f
.:f,v: ,.:f,.:,.:,.:,f:a,v: ,f:a,.:,v:,m:o
.:,f:a,f:,f:r,.:,f:,m:o,.:,f:,.:,f:,f:a
