f:a,f:a,f:a,.:f,.:,f:a,.:r,f:a,f:a,.:f,f:r,f:
m:o,v:,f:a,.:f,v:,m:o,.:f,m:o,v: ,f:a,.:r,f:
f:a,f:a,m:o,.:f,m:,m:o,f:,f:a,.:,.:f,f:,.:
.:,m:o,.:,m:,f:a,m:,f:a,m:,.:f,.:,f:a,.:
.:f,v:,f:a,f:a,.:f,c:2,.:f,f:,m:o,v:,m:,f:
f:a,f:a,f:a,.:,m:o,.:f,f:a,.:,f:a,.:f,f:a,.:f
f:a,.:f,.:f,m:o,.:,.:,f:,m:,m:o,.:,.:,f:
.:f,v: ,f:a,f:a,v:,f:a,m:,.:f,m:o,.:,m:o,.:f
.:,.:c,.:f,.:f,f:a,.:f,.:c,.:c,f:,.:,v:,.:
.:,.:f,m:o,.:f,.:r,m:,f:,c:0,.:,.:f,f:,m:
m:,m:o,v: ,.:f,f:,f:a,f:a,f:a,f:,f:,f:,m:
m:,f:a,f:a,f:,f:,.:,.:,m:,.:,f:,m:,m:
