m:,f:,m:,f:,f:,f:a,m:o,f:a,f:a,.:f,.:f,.:f
.:f,m:,.:f,.:f,f:,m:,m:,v:,f:a,m:,v: ,.:f
.:,f:a,m:,.:f,.:,.:f,f:a,m:o,f:a,.:f,.:f,f:a
.:f,f:a,c:2,f:a,.:f,f:,m:,f:,m:o,.:c,f:a,.:f
f:a,.:,m:o,.:f,m:,.:,.:f,.:c,f:a,v:,.:f,f:a
f:a,.:f,f:a,f:,.:,f:a,m:o,.:c,f:a,.:f,f:a,m:
m:,v: ,f:,f:,.:r,m:o,c:0,.:f,.:r,f:a,f:a,.:
m:,f:a,.:c,.:,.:f,f:a,.:c,f:,.:,m:,v: ,f:
.:f,m:,f:a,.:,f:,f:a,m:,f:,.:f,.:c,.:f,m:o
.:,v:,.:c,.:,v:,f:a,.:c,v:,.:f,m:o,f:a,f:
.:f,.:,m:o,f:,.:c,.:f,.:,f:,f:,.:f,m:,f:
f:,.:,.:r,.:r,m:,.:,f:,f:,f:,.:c,.:,.:
