f:,.:f,.:f,.:f,.:,m:o,f:,f:a,m:o,f:,f:a,f:
.:f,m:o,v:,m:o,.:,m:o,v:,.:c,.:,v: ,f:a,m:
m:,f:a,.:f,.:f,f:r,.:f,m:,f:,.:,m:o,.:c,f:r
m:,f:a,f:a,.:f,m:o,m:,f:a,.:f,.:c,f:a,.:,.:
m:,m:o,c:2,m:o,.:f,v:,.:,.:,c:0,.:c,m:r,.:r
f:,m:,f:a,.:f,.:,f:a,m:o,.:f,f:a,.:,f:,m:
f:a,f:a,f:a,.:,f:a,f:a,m:o,f:,m:,f:,f:a,f:a
m:o,v:,.:f,f:a,v: ,.:,m:o,v:,f:,.:f,v:,m:o
m:o,f:a,.:f,.:f,m:,f:a,f:,f:,f:,f:,.:f,f:
f:a,.:,f:a,m:,f:a,m:,f:a,.:c,.:c,.:,f:,f:
.:f,v:,f:a,f:a,v: ,.:f,m:o,v:,m:o,m:o,m:,m:
.:f,m:,f:a,.:f,.:f,.:f,.:f,m:,f:a,f:a,f:,m:
