.:,f:a,.:f,.:,f:a,.:f,f:a,.:f,f:a,f:a,f:a,.:f
.:,v:,f:a,.:c,f:a,.:,f:a,v: ,f:a,.:f,v: ,f:a
f:a,.:,f:a,m:,c:2,f:a,.:f,.:f,.:f,.:,.:f,f:
.:f,f:a,.:f,m:o,.:,f:a,f:a,.:f,.:,f:,m:o,f:a
.:f,v:,m:,f:a,.:f,f:a,f:a,v: ,f:a,f:a,v:,f:a
m:,.:f,f:a,m:,v:,.:,f:,.:f,.:f,.:,.:c,f:a
m:,f:,.:,f:a,f:,f:a,f:,f:a,f:a,.:,.:f,.:
f:a,m:o,f:a,f:a,.:,m:,m:,m:,v: ,m:,.:,m:
.:f,v: ,f:,.:f,.:c,m:,f:a,m:,.:,.:f,f:,.:
.:f,f:a,.:,f:a,m:,c:0,.:c,.:,.:,f:a,m:,f:
.:r,.:f,f:a,.:r,f:,f:a,f:,m:o,v: ,f:a,f:,.:
f:,.:r,.:,m:r,f:,f:,.:,m:,.:c,.:,m:,.:
