m:,f:a,m:,f:a,.:f,f:a,f:a,f:,f:a,.:,.:,.:
m:,v: ,f:a,.:f,v: ,f:a,.:,f:,f:a,f:a,f:a,f:
.:,m:o,f:a,f:,f:a,.:f,.:r,.:f,.:f,c:2,.:f,f:
m:,f:,.:,.:,f:,f:,m:o,.:f,m:o,.:,m:,m:
f:,m:,f:,.:,.:,v: ,f:a,.:f,f:a,.:,f:a,.:r
m:,f:,c:0,f:a,m:o,.:,f:a,m:o,v: ,f:a,.:,m:
f:,m:o,m:o,.:,.:,f:a,m:,.:f,.:f,.:,.:r,.:
f:a,f:a,.:f,m:,m:,v: ,.:,f:,f:a,.:f,.:f,m:
f:,v:,m:,f:,.:f,.:f,.:f,f:a,v: ,.:f,.:,.:
f:,.:f,f:a,f:,m:o,.:,.:,.:c,.:f,f:a,f:,m:
m:,.:,.:,.:f,v: ,m:,f:,m:,.:,f:,.:,.:
f:,m:,.:r,.:f,.:,m:o,.:,f:,f:,.:,.:,m:
