.:,.:c,.:c,m:,f:a,.:f,.:,f:,f:,.:,m:,f:
m:o,v:,f:a,m:,m:o,v: ,.:f,f:,f:a,.:,m:,f:
f:,.:,f:,f:,f:a,.:,m:o,m:,f:a,.:,f:a,f:
m:,m:,.:c,f:a,f:a,f:a,.:f,.:,f:a,c:2,f:a,.:
.:c,f:,f:a,f:r,.:f,v: ,.:f,.:f,f:a,.:f,f:a,.:
f:r,.:f,f:a,f:a,f:a,m:,.:f,f:a,m:o,f:a,f:,.:
.:c,m:,c:0,m:o,f:a,f:a,.:,m:,v:,.:f,.:,f:
m:,f:,f:a,m:,m:,m:o,f:a,f:a,f:a,.:f,f:,.:
.:,.:f,f:a,f:,.:c,v: ,.:f,f:a,f:a,f:a,.:,.:
.:f,v: ,m:,f:,f:,f:,f:a,.:f,v:,.:f,m:o,f:
f:,.:c,.:c,.:,.:,.:,.:,f:a,f:a,m:,f:,f:
.:f,f:,m:,.:,f:,m:,m:,f:,.:r,m:r,m:,.:
