.:,.:f,m:,m:,.:,f:,.:f,f:a,m:,.:f,f:a,.:f
m:o,v:,m:,f:a,v: ,.:,.:,v: ,m:o,.:f,v: ,f:a
.:f,m:,f:a,m:,.:,f:,f:,f:a,.:,f:a,.:f,.:f
f:,m:,f:a,f:,f:,f:a,f:,f:,.:f,f:a,.:f,.:
.:r,m:,.:,m:,.:,v:,f:a,.:f,.:f,c:2,.:f,m:o
f:,f:,.:,.:f,f:,m:o,m:,m:r,.:f,f:a,f:a,m:
.:f,m:,c:0,f:,.:c,.:f,f:,m:,.:f,m:,.:r,f:a
f:,.:f,f:,.:f,.:f,v: ,.:c,.:f,v:,f:a,m:,.:
m:,m:,f:,m:,.:,f:a,m:,.:f,m:o,.:,.:,.:c
f:,v:,.:f,f:a,f:a,f:a,.:f,m:,.:f,m:o,f:a,.:f
f:a,.:f,.:f,m:,v:,f:a,m:o,v: ,f:a,f:a,v:,f:a
f:r,.:,f:,f:,m:,m:,f:a,f:a,f:a,m:o,m:o,.:f
