f:,f:,.:,.:,m:o,.:f,f:,f:,.:,.:,.:c,f:
m:,f:a,f:a,f:a,f:a,f:,.:f,m:,m:o,f:,f:a,f:
m:r,.:f,.:f,v:,f:,f:a,v:,m:o,f:a,v:,m:o,.:
f:,f:,f:a,f:,.:f,.:f,.:c,m:o,f:a,m:o,f:,f:
f:,f:a,.:f,.:,f:a,m:o,.:c,f:,.:,.:,.:,f:
.:f,c:2,.:f,.:f,.:c,v:,.:,.:f,f:,.:f,.:,f:
.:,f:a,m:o,.:,m:o,.:f,.:,m:o,c:0,f:,m:,.:r
m:,f:a,f:,.:,f:,.:,f:,.:f,m:,m:o,.:c,.:
m:,.:c,.:,f:a,m:,.:c,m:o,m:,.:f,f:a,.:c,.:
.:f,f:,v:,.:f,f:a,f:a,v:,m:o,m:o,v:,f:,f:r
.:,f:a,.:,m:,.:f,.:c,.:,m:o,f:a,.:f,.:,.:
.:,.:,.:,f:,.:,f:,f:r,.:,f:,.:,f:a,f:
