.:f,m:o,f:a,f:a,f:,f:a,.:,.:f,.:f,.:f,f:a,f:a
f:a,v:,.:f,m:o,v:,m:o,.:f,v: ,.:f,f:a,v: ,.:f
m:o,.:,.:f,.:f,f:a,.:f,f:a,.:f,.:,.:f,.:,f:a
.:,.:f,.:,f:a,f:a,m:,f:a,.:f,f:a,.:,f:,f:
.:,m:o,v: ,.:f,.:f,v: ,f:a,m:,v: ,f:a,f:,.:
f:,.:c,f:,f:,f:a,.:f,.:f,m:,.:f,f:a,.:,f:a
.:,.:,f:,.:,m:,f:,.:f,.:f,.:f,.:f,m:,f:a
.:,f:,f:,f:a,m:,.:r,m:o,c:2,f:a,f:a,v:,m:o
f:r,.:,.:,.:c,.:r,.:r,f:a,f:a,m:o,.:f,.:f,.:f
f:,f:,c:0,.:f,.:c,f:a,.:f,f:a,f:a,.:f,.:,f:
.:,.:c,m:o,.:c,m:,v: ,.:,.:,v:,m:,.:,.:
.:,m:o,.:,f:a,.:,f:,m:,f:,.:f,f:,m:,f:
