f:a,f:a,m:o,.:,f:a,f:,f:,m:o,f:a,f:a,f:r,.:
f:a,v: ,.:,.:,f:a,m:,f:a,.:f,v: ,m:,f:,f:
.:f,m:,f:a,f:a,f:a,c:2,.:f,f:a,.:,f:a,.:f,m:
m:,m:,.:f,f:a,.:,.:f,m:,f:a,.:,m:o,m:,f:
f:,m:o,v:,m:o,m:,f:a,f:a,f:a,v: ,f:a,.:,.:
.:,.:f,.:f,m:o,.:c,v:,.:c,m:o,f:,m:o,f:,f:
m:o,f:,.:,m:,f:,m:o,m:o,m:o,.:f,f:a,f:,f:
f:,v: ,.:c,f:r,f:r,.:c,f:a,m:o,v:,f:,f:,f:
.:,m:,.:c,.:,f:,.:c,.:f,.:c,.:,f:a,.:f,m:
f:a,.:f,m:o,f:,c:0,m:,.:,f:a,f:a,.:f,f:,.:
.:c,v:,m:o,.:,.:f,f:,.:,m:o,v: ,f:a,.:,.:
f:a,m:,f:,f:,f:,f:,.:,m:o,.:,f:a,.:r,.:
