f:a,.:f,.:f,m:,f:a,f:a,.:f,f:a,f:a,f:a,f:a,.:f
f:a,v:,.:f,.:f,v:,f:a,f:a,v: ,.:f,.:f,v: ,.:f
f:a,f:a,.:f,f:a,f:a,.:f,.:f,.:f,m:o,m:o,m:,.:f
.:,m:,.:f,f:a,m:o,f:a,f:a,.:,.:f,m:,.:f,.:f
.:,v: ,f:a,f:a,v:,f:a,.:f,c:2,m:o,.:,v:,f:a
m:o,.:f,f:a,f:a,.:f,.:f,f:a,.:,.:f,f:a,.:,m:o
.:,f:,.:f,m:,f:a,f:a,.:f,.:f,f:r,.:,.:,.:
f:a,v: ,.:c,f:a,v:,f:a,.:,f:r,.:f,.:,m:,.:
.:f,m:o,m:,.:,.:f,m:,.:r,.:,m:,f:,f:a,f:a
m:o,.:,f:,f:,f:a,f:,f:,f:,f:,c:0,.:f,m:o
f:a,v: ,.:c,f:,v: ,f:a,.:,f:,m:,.:f,f:a,f:
.:f,m:,f:a,.:f,f:,.:f,m:r,.:,f:,f:,.:,m:
