f:,.:f,m:,f:a,.:,.:,.:,f:,.:,f:a,f:,f:
m:r,.:,c:2,.:,f:a,.:f,f:a,f:,.:f,f:a,.:f,.:
.:,.:f,f:a,f:,.:f,v:,f:a,m:o,v:,.:f,.:,f:
.:,f:a,f:,.:f,.:f,f:a,.:f,f:,f:a,.:f,m:,f:
f:,f:,.:,f:a,m:o,.:,m:o,f:,.:f,.:f,.:,.:f
f:,f:a,.:c,v:,m:o,f:a,v:,f:,m:o,v:,f:a,f:a
f:,.:,f:a,.:f,.:,f:,.:,f:a,.:,.:f,.:f,f:
.:,f:,f:,.:,.:,.:f,.:f,.:f,m:,.:r,m:,m:
.:,m:o,.:,f:a,.:,.:c,v:,f:a,f:,m:,f:a,.:
f:,.:f,v:,m:o,.:f,.:f,f:a,.:f,.:f,v:,f:a,m:o
f:,.:f,.:,m:o,.:,.:f,m:r,f:r,.:f,.:,.:f,.:
.:,.:,m:,.:,f:a,.:,f:,.:,.:,m:o,m:,.:
